,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_accuracy,number_parameters,training_time,checkpoint_size,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,2.3021724224090576,432.8080749511719,2.3022305965423584,361.450439453125,0.34799407720565795,1.7653896729151408,0.10023722052574158,545208.0,4.101016410191854,6565107.0,0.10014237463474274,0.4920327573071094,0.7244263803159341,0.41648355579635776,512,209,168,0.0004912061942366778,0.46190172936097174,0.5720867424455202,0.9033092939223485,relu
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,2.302318572998047,432.83392333984375,2.302466630935669,361.4879150390625,0.3391611377398173,1.7416480422019958,0.10023722052574158,1095343.0,3.9957430005073546,13175283.0,0.09943126142024994,0.2135550101203495,0.9026660150681844,0.38280545232727425,643,547,430,0.005178280888188028,0.9273865383246994,0.31042611537386644,0.8439649796042096,leaky_relu
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,2.304527521133423,433.2486572265625,2.3045530319213867,361.80938720703125,0.3448518435160319,1.749768034617106,0.09964462369680405,1029156.0,3.936534611384074,12378803.0,0.10014237463474274,0.9722213819345839,0.2975832559129624,0.6858218707002413,672,666,81,1.1319089670902876e-05,0.304147192460573,0.4809485521814624,0.475246144894548,swish
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,2.3419716358184814,440.27374267578125,2.3421835899353027,367.740478515625,0.3338976422945658,1.7350184599558511,0.09964462369680405,819651.0,3.9355238755544026,9861299.0,0.10014237463474274,0.10125888676397421,0.5405104805513705,0.9266739535358547,674,401,51,2.6898497946405552e-08,0.7615029200619674,0.3180592509126501,0.2956870611758534,sigmoid
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,2.7967967987060547,525.70068359375,2.7990753650665283,439.50189208984375,0.33903204600016273,1.7203808347384135,0.10023722052574158,1024020.0,3.8883671601613363,12318835.0,0.10014237463474274,0.2703404826530018,0.30419492844247376,0.8933073147984589,645,480,426,0.011028550402967918,0.9065964715809565,0.268426535729785,0.16523801859443868,sigmoid
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,2.3008525371551514,432.5589599609375,2.3013272285461426,361.3103942871094,0.33583492835362755,1.740276316801707,0.10023722052574158,765565.0,3.9628516753514607,9212339.0,0.10014237463474274,0.6168343700369725,0.6052215302351626,0.3329695886272781,550,495,123,4.9617990330097506e-05,0.4066544113135674,0.6618360661789042,0.9604096744980983,sigmoid
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,2.30191969871521,432.7604675292969,2.3020002841949463,361.4144287109375,0.3409610311190287,1.7387882550557454,0.10023722052574158,1580551.0,3.964448289076487,19001139.0,0.10014237463474274,0.11972716190797983,0.6373776446147404,0.9011820620495031,938,721,231,0.00013604440319121264,0.9222242711298195,0.34280251815241525,0.33682371277623774,leaky_relu
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,1.525829553604126,286.91021728515625,1.5105133056640625,237.0640869140625,0.3331611434618632,1.7467960755030314,0.6285099387168884,2119896.0,4.007769838968913,25479219.0,0.637399435043335,0.9610669434910442,0.21992558976448595,0.39043000152736373,964,950,467,9.100944777380505e-05,0.27821057614527783,0.38209505342857764,0.04950728466119516,relu
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,2.3022208213806152,432.8170471191406,2.3022255897521973,361.4498596191406,0.3354054649670919,1.8997672994931538,0.10023722052574158,1738598.0,3.932307505607605,20901939.0,0.09943126142024994,0.48098230346682325,0.24580024773727693,0.12234085519651383,785,742,719,1.3797515974079804e-06,0.22894524842131797,0.10226918633899616,0.9412154973888897,swish
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,2.3020575046539307,432.7861328125,2.302110433578491,361.431396484375,0.33392998377482097,1.7314340035120646,0.10023722052574158,923724.0,3.9174580216407775,11113011.0,0.10014237463474274,0.02166652730822316,0.339247099468998,0.9980796368527962,594,527,270,0.00012338213807035946,0.40328657156684444,0.6233095786174837,0.8564256553651218,sigmoid
10,10,10_0,COMPLETED,Uniform,GenerationStep_0,2.3009541034698486,432.57745361328125,2.3012845516204834,361.3023681640625,0.33597079912821454,1.7395244479179381,0.10023722052574158,721260.0,3.943007997671763,8679219.0,0.10014237463474274,0.4721011780946215,0.31190634894396696,0.8409220751275331,773,128,118,1.5679716927539934e-05,0.2955491851961755,0.2316807053773889,0.6862827258290698,sigmoid
11,11,11_0,COMPLETED,Uniform,GenerationStep_0,2.310323715209961,434.3469543457031,2.3101277351379395,362.6883239746094,0.33395742972691855,1.7178320368131001,0.09780518710613251,1138331.0,3.911738220850627,13689267.0,0.09777486324310303,0.2562133103001957,0.712566700860013,0.7350089620018716,934,375,145,2.6294769422452763e-08,0.9289800084466941,0.27127839986544544,0.5227390918084258,relu
12,12,12_0,COMPLETED,Uniform,GenerationStep_0,6.85215425491333,1288.333984375,6.826491355895996,1071.3321533203125,0.33223781585693357,1.7244688550631204,0.09964463114738464,1312497.0,3.9332383275032043,15783987.0,0.10014237463474274,0.8310870147752759,0.13990183429808345,0.8135377464213197,694,641,497,0.0067099696720341285,0.8974473363501875,0.14829367729588797,0.8397175953794788,sigmoid
