,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,31.498565673828125,5360.83154296875,32.70344161987305,6962.38525390625,1.6812893708546957,1.6671863277753194,3.8281623204549153,1032243.0,2137.05078125,1.3931663036346436,0.44951534271240234,1.4144409894943237,2245.913818359375,1.3815606832504272,1.4236701726913452,84510.0,0.463592529296875,0.7287259034741624,0.01775811038191688,0.9420577795901972,296,157,89,0.020412583836158366,0.8438309897934105,0.3033352223110573,0.9379312576416897,leaky_relu
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,32.17596435546875,5476.64013671875,33.37686538696289,7105.8427734375,1.6616157650947572,1.681292752424876,3.8381408492724103,827571.0,2183.99951171875,1.4095526933670044,0.45476412773132324,1.4310107231140137,2294.599365234375,1.3971589803695679,1.439690351486206,67492.0,0.4687785804271698,0.49685152222965634,0.0817468781368913,0.1712136638250401,184,166,132,1.3814898333207681e-05,0.361401170228299,0.15544077859080252,0.7213535353610612,leaky_relu
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,32.478946685791016,5528.45703125,33.67867660522461,7170.12890625,1.6827561934789022,1.6768122394879659,3.8082493901252747,1346739.0,2204.597900390625,1.4166967868804932,0.45705142617225647,1.4382315874099731,2315.951904296875,1.403952956199646,1.4466651678085327,110605.0,0.4710361659526825,0.17494719479759313,0.06419107178505556,0.8201378330768251,257,206,178,1.0768342843159911e-08,0.8564987081695646,0.5724193093578951,0.9311656045724285,swish
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,32.460052490234375,5525.22900390625,33.65985107421875,7166.1201171875,1.665593945980072,1.6687784234682719,3.8109482606252034,870323.0,2203.334228515625,1.416259527206421,0.45691150426864624,1.4377903938293457,2314.640625,1.4035370349884033,1.4462389945983887,71075.0,0.47089821100234985,0.11940038878146697,0.9364030285422551,0.2890873320589993,208,190,77,1.3573482403776797e-06,0.14042863184083187,0.114005062300742,0.4672206900391276,swish
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,32.2608528137207,5491.15869140625,33.46139144897461,7123.84912109375,1.6737103780110678,1.6748769561449686,3.812881537278493,861363.0,2189.796875,1.4115657806396484,0.45540884137153625,1.433045744895935,2300.611083984375,1.3990741968154907,1.4416570663452148,70336.0,0.4694150388240814,0.409905478421452,0.49808065055452333,0.6955483251388088,237,168,67,0.00011027481982926733,0.9778507179047634,0.5249646179856965,0.9724977542712111,swish
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,26.79584312438965,4562.94921875,27.856325149536133,5930.36083984375,1.6706132610638937,1.669030451774597,3.8012397329012555,659507.0,1611.7635498046875,1.2021820545196533,0.3880288600921631,1.2201188802719116,1697.379638671875,1.195383906364441,1.231357216835022,53570.0,0.4012196958065033,0.7509996652073203,0.19986848214329056,0.3031534154610004,268,104,38,0.00034735967948420755,0.5279237714960759,0.38408979657141396,0.5341132399243578,sigmoid
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,32.343589782714844,5505.31201171875,33.54387664794922,7141.41796875,1.6757713158925374,1.6610610802968344,3.8010514259338377,146355.0,2195.579345703125,1.4135684967041016,0.4560505747795105,1.4350709915161133,2306.609130859375,1.4009809494018555,1.4436157941818237,11086.0,0.47004908323287964,0.8591047907570202,0.35080764805589393,0.34677978098961015,61,57,46,2.1536373473041937e-06,0.8990639608006994,0.4728073241583395,0.5603359025720047,leaky_relu
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,32.45871353149414,5524.9990234375,33.65849685668945,7165.8330078125,1.6907678167025249,1.6822133700052897,3.8003918568293256,395379.0,2203.2314453125,1.4162240028381348,0.4569000005722046,1.4377541542053223,2314.533935546875,1.4035032987594604,1.4462037086486816,31696.0,0.4708869457244873,0.1384323203301432,0.5195561651380665,0.2263166091942892,164,107,8,3.6698628229199443e-07,0.5451107188057178,0.3261523404163632,0.7804035592528179,leaky_relu
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,32.529945373535156,5537.18017578125,33.72943878173828,7180.94287109375,1.665710163116455,1.6718623439470928,3.7961219271024067,1636723.0,2208.0068359375,1.4178792238235474,0.45742958784103394,1.4394254684448242,2319.480712890625,1.405074119567871,1.4478169679641724,134715.0,0.4714086651802063,0.8638210295566366,0.1527296804057432,0.8258269562168298,253,240,222,7.52588349321455e-07,0.3001668629969756,0.982230934715897,0.3612553363923558,leaky_relu
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,32.50179672241211,5532.36572265625,33.70142364501953,7174.9765625,1.6662687261899312,1.6838758985201518,3.794485092163086,364467.0,2206.1474609375,1.4172343015670776,0.45722344517707825,1.4387743473052979,2317.556396484375,1.4044625759124756,1.4471900463104248,29101.0,0.4712058901786804,0.3176156484288173,0.8887474617069483,0.8321985920330177,177,66,46,1.175306071771359e-06,0.44209467983054374,0.8822153996090464,0.4084681975776504,sigmoid
