,number_parameters,training_time,validation_time,testing_time,checkpoint_size,mean_validation_loss,cumulative_validation_loss,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,mean_test_loss,cumulative_test_loss,test_mse,test_nrmse_mean,test_nrmse_range,test_nrmse_std,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation,trial_index
0,121524,4.292488793532054,1.8105007410049438,1.8024126887321472,1477875.0,25.880935668945312,4413.58349609375,1350.94677734375,1.1058677434921265,0.3560951054096222,1.1197328567504883,26.896926879882812,5726.408203125,1419.897705078125,1.0947551727294922,0.36672934889793396,1.125648021697998,0.38123304153861304,0.8209182790255785,0.5449185163702186,271,217,187,0.08470069739617557,0.8255370303188949,0.548404698997945,0.8497811682712227,sigmoid,0
0,12384,3.820996352036794,1.6655792752901712,1.6491486469904582,162099.0,32.55571746826172,5541.5869140625,2209.79638671875,1.418497085571289,0.45762741565704346,1.4400506019592285,33.755184173583984,7186.42333984375,2321.3388671875,1.4056628942489624,0.4716045558452606,1.4484214782714844,0.1806107521766105,0.31402324054481434,0.22068180813609906,74,63,27,1.774539739752429e-05,0.4991001823505389,0.659321208849469,0.7767206635087952,swish,1
0,90778,3.6937728683153788,1.6260938763618469,1.6116649349530539,1107507.0,15.95859432220459,2732.251953125,542.9219360351562,0.7086900472640991,0.22660547494888306,0.714663028717041,16.398347854614258,3490.571044921875,562.46875,0.6887974143028259,0.22926083207130432,0.7060381174087524,0.40657545458196964,0.683920065228365,0.9457230789165902,263,196,91,0.04233735308861463,0.19985396134998323,0.138574321094098,0.06215348226680017,swish,2
0,35455,3.6831642349561053,1.6253313938776652,1.6497085412343344,440819.0,32.73809051513672,5572.77783203125,2222.16943359375,1.4227699041366577,0.4589952826499939,1.4443682432174683,33.93710708618164,7225.1806640625,2334.162353515625,1.409725308418274,0.4729541540145874,1.4525914192199707,0.5031532664676636,0.1442694847925856,0.38036403812158937,221,74,16,8.514481226585442e-07,0.597125754956868,0.6530251519619887,0.6724226390562346,relu,3
0,39673,3.6593672076861066,1.6072208960851033,1.6298118988672892,491571.0,32.29535675048828,5497.0556640625,2191.213623046875,1.4120783805847168,0.4555704891681671,1.4335591793060303,33.49559020996094,7131.1318359375,2302.06787109375,1.399551510810852,0.46957188844680786,1.4421440362930298,0.8954356856438038,0.058640571217807747,0.205906660213529,215,98,12,5.033581126532499e-06,0.40746458411162734,0.8194533303645943,0.06016049352651957,leaky_relu,4
0,89561,3.6838182965914408,1.6171252051989238,1.6222315788269044,1093107.0,32.507667541503906,5533.36572265625,2206.529052734375,1.4173667430877686,0.4572659134864807,1.438908576965332,33.70725631713867,7176.21923828125,2317.9501953125,1.4045889377593994,0.47124749422073364,1.447318434715271,0.9144853367132711,0.21497992247347342,0.6467507034973697,280,182,87,5.606309615543416e-06,0.9426557965505363,0.6086165779545066,0.09897789667361095,swish,5
0,71788,3.663397939999898,1.610233740011851,1.614468228816986,878643.0,32.57475280761719,5544.8427734375,2211.08837890625,1.4189438819885254,0.4577704966068268,1.4405016899108887,33.774169921875,7190.4716796875,2322.677490234375,1.4060877561569214,0.47174549102783203,1.4488574266433716,0.9623657105440746,0.6285814527302797,0.9796922519546474,242,203,15,2.8170410335631672e-08,0.6771189090059441,0.7664700990856443,0.07361878573739734,sigmoid,6
0,39226,3.665641494592031,1.615277143319448,1.6259578386942546,486515.0,32.31460189819336,5500.34814453125,2193.446533203125,1.412832498550415,0.4558144509792328,1.434326171875,33.51491165161133,7135.24853515625,2304.39208984375,1.4002782106399536,0.46981537342071533,1.4428939819335938,0.9145626710805522,0.08228523712899594,0.27114778145984875,242,76,16,1.9102273494400683e-06,0.5720032768856006,0.9007329540585517,0.7539997260047032,sigmoid,7
0,83360,3.6726444800694784,1.6143103877703349,1.6139274716377259,1017843.0,32.61088562011719,5551.01806640625,2213.68408203125,1.4198368787765503,0.45805636048316956,1.4414052963256836,33.81019973754883,7198.14453125,2325.365478515625,1.4069373607635498,0.47202828526496887,1.4497302770614624,0.22670668262418203,0.3970768555858646,0.9876545227591885,267,199,43,1.6156722340325346e-07,0.8490988532387053,0.6663348787901443,0.5291092835350348,leaky_relu,8
0,88302,3.6544055223464964,1.6196914076805116,1.6231486121813457,1078131.0,25.895845413208008,4415.75732421875,1363.3646240234375,1.1103194952011108,0.3576107621192932,1.1244659423828125,26.919902801513672,5731.267578125,1433.2769775390625,1.0996419191360474,0.36843159794807434,1.130843162536621,0.4017729723867338,0.7234900299612629,0.40083854170179445,263,168,135,0.002452211543764275,0.5759960700511729,0.3553865542265813,0.45931962387842123,sigmoid,9
