,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,2.306957244873047,433.7032775878906,2.305894136428833,362.01470947265625,0.33772101799647014,1.7133798956871034,3.859081761042277,16217907.0,0.10023722052574158,1348896.0,0.09943126142024994,0.41494607289914986,0.721775664004077,0.519524161561149,877,716,46,0.44087730051406077,0.6404306568366405,0.43424473523256535,0.8004939709977589,swish
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,2.3025779724121094,432.8843994140625,2.302527904510498,361.49847412109375,0.3342463533083598,1.697167420387268,3.9938924511273703,28286643.0,0.10023722052574158,2353596.0,0.10014237463474274,0.5050066032397291,0.7440097598283703,0.0920873272109416,984,932,706,9.05748870974714e-06,0.3142757657119123,0.6454004988607368,0.6433563529555492,leaky_relu
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,2.3030261993408203,432.9674072265625,2.3028347492218018,361.5421142578125,0.34263287782669066,1.7021907289822897,3.8879775484402974,14942451.0,0.10023722052574158,1242522.0,0.09943126142024994,0.13163478017002728,0.3704585457743884,0.584720551588543,723,620,361,6.711329709222953e-06,0.9029299762285796,0.8817334991160669,0.33892863448515553,leaky_relu
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,2.299964427947998,432.3929748535156,2.300058603286743,361.11236572265625,0.34121626218159995,1.7225133061408997,4.099999038378398,12111027.0,0.12382125854492188,1006837.0,0.1241074800491333,0.4927913538066223,0.6746149346103725,0.06555602699123886,738,415,287,1.1046209609904182e-07,0.6961901362971338,0.15966970548458878,0.5070560894786567,relu
4,4,4_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,0.9751622523192431,0.49149807002795065,0.6263643662007962,966,617,421,0.6295560607632611,0.2362275574153783,0.7308062972949564,0.3860160737574489,sigmoid
5,5,5_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,0.02508481000459062,0.007377178486288605,0.5106145569352819,717,651,209,0.03428919614776223,0.3848599933739729,0.2523946020456348,0.3765220998154067,swish
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,2.3022751808166504,432.8275146484375,2.302321195602417,361.4646911621094,0.339755384127299,1.6923092087109883,3.9871818979581195,29296179.0,0.10023722052574158,2437620.0,0.10014237463474274,0.777822888316603,0.028274898249593172,0.5134254723121408,992,898,847,2.4736583623770824e-05,0.9883996602770804,0.3382329354949428,0.8140102160073924,leaky_relu
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,2.3163962364196777,435.4967041015625,2.317176342010498,363.8207092285156,0.3408378044764201,1.6748743375142416,3.9620238184928893,16727283.0,0.09964462369680405,1391170.0,0.10014237463474274,0.633970605571332,0.19226842639395492,0.2914403024319885,773,748,273,6.028085645730804e-07,0.4892265717423683,0.78262779707474,0.3353409489061516,sigmoid
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,2.302676200866699,432.9041748046875,2.302691698074341,361.5241394042969,0.34126962423324586,1.6845876812934875,4.002286950747172,24754739.0,0.09964462369680405,2059428.0,0.10014237463474274,0.29608822866263196,0.882153864031137,0.611194935786221,871,824,790,1.1089594618277581e-05,0.30732740741474357,0.4774679421238729,0.08188884989467282,relu
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,2.303011655807495,432.96856689453125,2.30241322517395,361.4735107421875,0.336294694741567,1.7060319781303406,3.9639998277028403,12553011.0,0.09575198590755463,1043710.0,0.10748304426670074,0.8687835361660415,0.8371902599050178,0.4938832075138089,849,372,163,5.495188642225351e-08,0.5794770598108382,0.25500875261633826,0.4448145110856093,relu
10,10,10_0,COMPLETED,Uniform,GenerationStep_0,3.316248655319214,623.3651123046875,3.310164451599121,519.6177978515625,0.3403202652931213,1.7004572113355,3.9397920807202658,21818099.0,0.10023722052574158,1815036.0,0.10014237463474274,0.09271419981687934,0.8752819368026235,0.9728792866024644,999,716,436,0.026615458937306182,0.5175545157756838,0.3723260798566981,0.5222632411006856,swish
11,11,11_0,COMPLETED,Uniform,GenerationStep_0,2.302063465118408,432.7868957519531,2.3020873069763184,361.4281311035156,0.33637379805246986,1.6972848137219747,3.9563962618509927,19352883.0,0.10023722052574158,1609768.0,0.10014237463474274,0.4673863233105422,0.8824946982954144,0.3293267032007071,953,628,414,1.747588297421584e-05,0.1690428041249435,0.1391902677299729,0.7424432595356408,swish
12,12,12_0,COMPLETED,Uniform,GenerationStep_0,2.304185390472412,433.19189453125,2.3045313358306885,361.80499267578125,0.3446583429972331,1.6808444341023763,3.95870262781779,14862067.0,0.10023722052574158,1235892.0,0.10014237463474274,0.31799679554853244,0.9154614172676145,0.8933410516476623,749,704,170,2.7401517102278603e-06,0.8011472225043029,0.7810810452564564,0.5646121661467521,sigmoid
13,13,13_0,COMPLETED,Uniform,GenerationStep_0,2.3021819591522217,432.81011962890625,2.3021934032440186,361.44500732421875,0.335978885491689,1.9000437299410502,4.051270898183187,20382195.0,0.10023722052574158,1695366.0,0.10014237463474274,0.2561170564778916,0.1282932441882828,0.6407014152189116,884,665,614,0.0008154201398545294,0.48584255586781067,0.4688435322626926,0.7307291854615289,swish
14,14,14_0,COMPLETED,Uniform,GenerationStep_0,2.29986834526062,432.37103271484375,2.2999773025512695,361.0926208496094,0.33531458377838136,1.6750298062960307,3.9263386567433676,14631603.0,0.11846701055765152,1216675.0,0.11831580847501755,0.9877666885542742,0.2384472242916419,0.06078230256005024,808,529,289,2.0832086824657137e-06,0.37852090934811256,0.8583689948909563,0.3601669492949459,relu
15,15,15_0,COMPLETED,Uniform,GenerationStep_0,2.3272440433502197,437.5127868652344,2.328399658203125,365.52789306640625,0.3664213498433431,1.9797953446706136,3.9531976143519083,17685235.0,0.10023722052574158,1471032.0,0.09943126142024994,0.29842324024031386,0.034145807170087084,0.754317293865917,928,755,56,1.9010423925109243e-06,0.3227134353020972,0.5994658729934867,0.7762291326335923,sigmoid
16,16,16_0,COMPLETED,Uniform,GenerationStep_0,2.303497552871704,433.05609130859375,2.304277181625366,361.7698974609375,0.36706657012303673,1.8895266930262247,4.425829950968424,17099379.0,0.07893471419811249,1422184.0,0.07889442890882492,0.0662098889597188,0.7673204940736403,0.9240918974212703,894,612,280,2.0274819837546115e-08,0.8504990878505237,0.10657509214356607,0.5313007761572903,relu
17,17,17_0,COMPLETED,Uniform,GenerationStep_0,2.3031609058380127,432.9919738769531,2.3037991523742676,361.6966552734375,0.37833844820658363,1.907578464349111,4.434798264503479,9843315.0,0.06877265870571136,817946.0,0.0737900361418724,0.15459595328529374,0.6048043350632403,0.15538068424203444,508,463,390,1.1053156244118551e-07,0.6915494771325441,0.5670572287208007,0.6053501881429191,leaky_relu
18,18,18_0,COMPLETED,Uniform,GenerationStep_0,2.301926374435425,432.7621154785156,2.3014681339263916,361.332763671875,0.35289018154144286,1.9146199941635131,4.474847026666006,16720179.0,0.10320822894573212,1390500.0,0.10327400267124176,0.9518627882014296,0.7824768911799919,0.6229371834765557,870,530,458,1.091424382125422e-06,0.250645108028684,0.735214558265365,0.8693101238530908,relu
19,19,19_0,COMPLETED,Uniform,GenerationStep_0,2.30240535736084,432.8511657714844,2.3025901317596436,361.5067443847656,0.3561233997344971,1.7898700078328451,4.2541252692540485,17064307.0,0.10023722052574158,1419273.0,0.09943126142024994,0.4137078450970917,0.024971102304179982,0.3345258368641807,907,611,248,0.008728610877524832,0.42553788257082714,0.7264522816113391,0.4210706390591935,leaky_relu
