,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,2.3066203594207764,433.6392517089844,2.3062946796417236,362.0911560058594,0.34840460618336994,2.0358242988586426,3.7745766361554463,23173683.0,0.12528230249881744,1927970.0,0.12217176705598831,0.9916346780955791,0.6915275948122144,0.8518450073897839,998,897,276,1.777571259777264e-08,0.24223551154422038,0.5684183561350696,0.5969952406266819,relu
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,2.309560537338257,434.1997375488281,2.3090760707855225,362.5267333984375,0.3094290018081665,1.625322941939036,3.7574150204658507,9135923.0,0.10023722052574158,759354.0,0.10014237463474274,0.7823870060965419,0.9825731115415692,0.34512778278440237,735,238,33,7.5829791158059466e-06,0.6918849787102426,0.14398513024229273,0.9977178539029192,leaky_relu
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,2.302241325378418,432.82086181640625,2.30233097076416,361.46636962890625,0.30809927384058633,1.6174295743306477,3.688539938131968,16241907.0,0.10023722052574158,1350758.0,0.09943126142024994,0.20690187718719244,0.9546016855165362,0.22226496320217848,941,474,345,0.0008909932542652298,0.6685552020714358,0.8798130175065884,0.9210990770810972,swish
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,2.3068718910217285,433.695556640625,2.306049108505249,362.0414733886719,0.3059810241063436,1.6257619619369508,3.716521847248077,2300339.0,0.09964463114738464,190365.0,0.10014237463474274,0.3997519724071026,0.24248652812093496,0.5274466574192047,210,95,55,2.1429873635522177e-06,0.789150980932739,0.6095784866441896,0.5777647670323941,swish
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,2.302212715148926,432.81951904296875,2.3022775650024414,361.4627380371094,0.3035343766212463,1.6189113815625509,3.6801366726557414,11020083.0,0.11402779817581177,916044.0,0.11375170946121216,0.06448226049542427,0.3309429110959172,0.3370746076107025,790,284,246,2.212805452180326e-08,0.4061336316612395,0.10580287532021199,0.4381718247152546,relu
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,2.3026304244995117,432.8941955566406,2.302469253540039,361.48577880859375,0.30412913163503014,1.6212469538052876,3.6793365359306334,13359027.0,0.10023722052574158,1110780.0,0.10014237463474274,0.005474299192428589,0.7458322150632739,0.72922632843256,714,674,102,0.015109585481484418,0.2180766708136447,0.3968442014963466,0.5486445660786459,leaky_relu
6,6,6_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.8094465304166079,0.2195527395233512,0.0027648303657770157,976,544,232,0.11020730762231855,0.6113201723431354,0.6664688156375324,0.18715652915688422,relu
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,2.302201747894287,432.8135681152344,2.302229881286621,361.45025634765625,0.3050685962041219,1.6323251763979594,3.6861985445022585,17178291.0,0.10023722052574158,1428687.0,0.10014237463474274,0.9189690882340074,0.5973654771223664,0.43008308950811625,763,735,362,4.280636207016831e-05,0.4651052458622723,0.540658888726248,0.7032525888168092,swish
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,2.3020644187927246,432.7862854003906,2.3021349906921387,361.43511962890625,0.30394975741704305,1.6294862747192382,3.6417943636576333,6457523.0,0.09964462369680405,536241.0,0.10014237463474274,0.656357167288661,0.7218303261324763,0.2387256044894457,499,209,186,2.827637560264321e-05,0.5109071074963428,0.45767142151744444,0.18925294556460523,swish
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,2.3064634799957275,433.613525390625,2.3060033321380615,362.0448913574219,0.3043448766072591,1.6229197263717652,3.684459161758423,8177907.0,0.09213598817586899,679464.0,0.09180393069982529,0.8703732546418905,0.8218218768015504,0.9231131095439196,527,413,115,3.144882542522359e-07,0.9154721502876264,0.9609987552537439,0.8270036262647398,relu
10,10,10_0,COMPLETED,Sobol,GenerationStep_0,4.116706371307373,773.7152709960938,4.117244720458984,646.2699584960938,0.3039697368939718,1.626571249961853,3.6741843024889627,11073459.0,0.09964462369680405,920643.0,0.10014237463474274,0.557406822219491,0.7092705238610506,0.6325318720191717,822,325,27,0.08204358863501458,0.6173106807547091,0.8650340493515023,0.4127922091332053,relu
11,11,11_0,COMPLETED,Sobol,GenerationStep_0,2.3029961585998535,432.9665832519531,2.303250789642334,361.6109313964844,0.3041169206301371,1.6127102216084799,3.6705091118812563,16876211.0,0.10023722052574158,1403494.0,0.10014237463474274,0.6670586476102471,0.0831705816090107,0.8095896886661649,913,502,448,1.8203892132151844e-06,0.4570350582156384,0.12080328664910711,0.946500833925814,sigmoid
12,12,12_0,COMPLETED,Sobol,GenerationStep_0,2.3012640476226807,432.63671875,2.301459312438965,361.32989501953125,0.3026914397875468,1.6079797903696695,3.6408904075622557,11637939.0,0.10023722052574158,967432.0,0.10014237463474274,0.7310095028951764,0.9965340066701174,0.13924140948802233,590,586,267,0.00016431903318741428,0.16695586638635526,0.3817425099561744,0.054963947655473924,leaky_relu
13,13,13_0,COMPLETED,Sobol,GenerationStep_0,2.3355212211608887,439.0631103515625,2.3361191749572754,366.8193054199219,0.34778245687484743,1.7318570693333943,3.916215491294861,13211443.0,0.10023722052574158,1098444.0,0.10014237463474274,0.6223925333470106,0.37409498170018196,0.30092704109847546,681,640,198,4.079910360702271e-08,0.9072825708135437,0.5933556501884365,0.5857428961532501,sigmoid
14,14,14_0,COMPLETED,Sobol,GenerationStep_0,2.300220251083374,432.444091796875,2.3004403114318848,361.1756591796875,0.3178606708844503,1.6276420513788858,3.9844934980074567,18430899.0,0.10155974328517914,1533087.0,0.10141244530677795,0.27976172510534525,0.9412530474364758,0.2621042216196656,872,863,111,1.3964566744770007e-06,0.1946026516811423,0.5550740479219286,0.10432864621261105,swish
15,15,15_0,COMPLETED,Sobol,GenerationStep_0,2.3023478984832764,432.8418884277344,2.3023838996887207,361.47454833984375,0.31017388105392457,1.6463791330655415,3.7643640200297037,21510259.0,0.10023722052574158,1789342.0,0.10014237463474274,0.830335883423686,0.9267885256558657,0.5185504639521241,960,688,539,1.8688771247919863e-05,0.28789098240283617,0.7564982624423415,0.80538820508142,swish
16,16,16_0,COMPLETED,Sobol,GenerationStep_0,2.305443048477173,433.4141845703125,2.3058454990386963,362.0390930175781,0.3065086205800374,1.6434016386667887,3.696226195494334,18551475.0,0.10023722052574158,1543032.0,0.09943126142024994,0.45877555664628744,0.47568689845502377,0.6005698880180717,849,701,397,0.001155852610011541,0.6762975768414344,0.6815795193998944,0.6778657349957824,sigmoid
17,17,17_0,COMPLETED,Sobol,GenerationStep_0,2.306889533996582,433.6959228515625,2.306013584136963,362.0341491699219,0.3058602690696716,1.6197898387908936,3.70915979941686,14239731.0,0.09033812582492828,1184202.0,0.08584580570459366,0.3164709322154522,0.8481287807226181,0.9651210568845272,878,524,67,5.400097046611978e-07,0.3998117564461253,0.525769628137695,0.21255080189346626,swish
18,18,18_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.25346507877111435,0.20032544992864132,0.10922588780522346,624,441,157,0.6425705996073466,0.2257151569241283,0.25757984576746745,0.789890627859732,swish
19,19,19_0,COMPLETED,Sobol,GenerationStep_0,2.3021316528320312,432.798828125,2.3021645545959473,361.439208984375,0.3057102203369141,1.6114819089571635,3.6704141497612,10735155.0,0.10023722052574158,892278.0,0.10014237463474274,0.3929059384390712,0.576430156826973,0.4584181671962142,655,386,318,2.4964699068271068e-05,0.8502748851188195,0.9460064978401634,0.3196929009326953,leaky_relu
20,20,20_0,COMPLETED,Sobol,GenerationStep_0,2.312026262283325,434.66375732421875,2.3140106201171875,363.3129577636719,0.3051888267199198,1.6120149175326028,3.6722128788630166,5272499.0,0.10023722052574158,437655.0,0.09943126142024994,0.2117440402507782,0.3511306755244732,0.7919007129967213,405,245,82,0.005732008964352025,0.7217131601485172,0.7662976014900579,0.16385119058253356,sigmoid
21,21,21_0,COMPLETED,Sobol,GenerationStep_0,2.302067279815674,432.7881164550781,2.3021326065063477,361.4351501464844,0.30471457640329996,1.6294107993443807,3.6885536154111227,9981491.0,0.10023722052574158,829728.0,0.10014237463474274,0.28516892436891794,0.2555458415299654,0.22763691656291485,782,251,78,6.459424985256346e-05,0.8370516015278471,0.5124527673043746,0.4800313346513572,swish
