,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_accuracy,test_accuracy,number_parameters,training_time,checkpoint_size,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.5288044214248657,0.19863243401050568,0.5966323018074036,683,679,525,0.1496505757466023,0.8971176952961974,0.7230870714097112,0.24778987219499096,sigmoid
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,2.299252510070801,432.2569580078125,2.2993760108947754,361.0019226074219,0.33473048607508343,1.6817620078722635,0.10199260711669922,0.10241299867630005,919296.0,3.7688180843989056,11059507.0,0.2466782247647643,0.897332894615829,0.6427595000714064,820,258,242,5.128498680150905e-08,0.6295574986209468,0.8851920023861288,0.07775665276226987,relu
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,2.30198073387146,432.7718811035156,2.3020474910736084,361.42193603515625,0.33181780179341636,1.6497008601824443,0.10023722052574158,0.10014237463474274,1334043.0,3.7948317329088845,16040947.0,0.9987383875995874,0.5495128948241472,0.1893656775355339,848,641,193,0.00047247757864158073,0.2767593717120388,0.5994479928550807,0.4568251707543405,relu
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,2.3320586681365967,438.4219970703125,2.335308074951172,366.6840515136719,0.32849266529083254,1.6497989694277446,0.09964462369680405,0.10014237463474274,1570630.0,3.7705143372217815,18881971.0,0.8180144699290395,0.17133960593491793,0.28419341426342726,999,612,283,7.888572212671562e-08,0.8056172320448406,0.4255881561111491,0.6850331785571875,sigmoid
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,2.302274465560913,432.8273620605469,2.302297353744507,361.46124267578125,0.32817346254984536,1.639678156375885,0.10023722052574158,0.10014237463474274,1866074.0,3.7772993008295694,22432051.0,0.34864503238350153,0.6134384451434016,0.5636370051652193,879,766,649,0.0013462046576514968,0.17390836162328616,0.7671078825752184,0.9989233643507044,leaky_relu
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,2.302680730819702,432.90692138671875,2.3030526638031006,361.59161376953125,0.3317371129989624,1.6576497276624045,0.09964462369680405,0.10014237463474274,739938.0,3.7699548403422036,8904307.0,0.8797795167192817,0.29059253819286823,0.67379030585289,624,329,134,5.238401364067042e-06,0.44135478066976996,0.8441786381617216,0.824974371252493,sigmoid
6,6,6_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.8957893839105964,0.7482733763754368,0.9781387113034725,971,886,219,0.20155533811033918,0.43219038838223944,0.5073837829192375,0.3676560894142117,swish
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,2.302199125289917,432.8124694824219,2.30195951461792,361.4070739746094,0.33047053416570027,1.6329588174819947,0.10023722052574158,0.10014237463474274,1769391.0,3.7922416726748147,21269683.0,0.7952618077397346,0.09763819258660078,0.5111989295110106,878,857,379,1.0451640849708724e-05,0.6785279375481351,0.6675109259126063,0.5222567668113025,swish
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,2.3104147911071777,434.36138916015625,2.3101117610931396,362.68707275390625,0.33016905387242634,1.6540124535560607,0.10318070650100708,0.10311777144670486,650316.0,3.762805151939392,7825971.0,0.9834914598613977,0.4737318344414234,0.39991075173020363,746,83,38,2.233380522032442e-07,0.14618154088876467,0.2629971309149344,0.9760330985485802,leaky_relu
9,9,9_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.5639266520738602,0.5077079208567739,0.6361647332087159,450,391,278,0.7533131416017163,0.32914615112001067,0.474521873920951,0.588802224656366,relu
10,10,10_0,COMPLETED,Sobol,GenerationStep_0,2.3017661571502686,432.7320861816406,2.3019516468048096,361.407470703125,0.4499489426612854,1.6965591470400492,0.10023722052574158,0.10014237463474274,1290582.0,3.7759589473406474,15517747.0,0.1478490550071001,0.838220794685185,0.4319902900606394,941,503,155,2.13903176904391e-05,0.9810395250923828,0.22183270468048677,0.22282547839677855,relu
11,11,11_0,COMPLETED,Sobol,GenerationStep_0,2.3023951053619385,432.85003662109375,2.3024628162384033,361.4864501953125,0.3268091837565104,1.66213006178538,0.10023722052574158,0.10014237463474274,1014300.0,3.9422119657198587,12199795.0,0.2316439663991332,0.06391942966729403,0.947527589276433,715,559,95,0.0017812994933449624,0.6968441090354438,0.5468453249604698,0.6202533630096169,leaky_relu
12,12,12_0,COMPLETED,Sobol,GenerationStep_0,2.302664041519165,432.9014892578125,2.3025479316711426,361.4992370605469,0.3259380976359049,1.6573547403017679,0.10023722052574158,0.10014237463474274,1488298.0,3.7668808817863466,17894195.0,0.48444139398634434,0.8838480180129409,0.7631277227774262,925,576,393,0.019045229995206723,0.11208076985168346,0.5810087716778197,0.7230283340779526,relu
13,13,13_0,COMPLETED,Sobol,GenerationStep_0,2.2988901138305664,432.18603515625,2.298649787902832,360.89453125,0.3261398712793986,1.6306128978729248,0.10122154653072357,0.10058147460222244,1198560.0,3.7304504911104837,14412979.0,0.323248696513474,0.2703220844268799,0.7339928168803453,800,670,52,1.1408135278466151e-06,0.9775597084595865,0.4176949515098255,0.3855634712241997,relu
14,14,14_0,COMPLETED,Sobol,GenerationStep_0,2.3022401332855225,432.8208312988281,2.30228328704834,361.4586181640625,0.3254020531972249,1.6611193021138508,0.10023722052574158,0.10014237463474274,740466.0,3.7564975102742513,8911667.0,0.29815711826086044,0.5155554562807083,0.15578016079962254,565,368,237,0.0001264741332306751,0.700326931418684,0.1276860704363252,0.7713576655067597,swish
15,15,15_0,COMPLETED,Sobol,GenerationStep_0,2.3022775650024414,432.8279724121094,2.3023083209991455,361.462646484375,0.32660096486409507,1.6552878657976786,0.10023722052574158,0.10014237463474274,1912689.0,3.7940749168395995,22991155.0,0.9538260456174612,0.3304058173671365,0.10873717814683914,953,791,514,3.250229960666613e-05,0.8835327300728208,0.47106617118512106,0.9140514137087833,leaky_relu
16,16,16_0,COMPLETED,Sobol,GenerationStep_0,2.305490732192993,433.429443359375,2.3047726154327393,361.857177734375,0.3274550517400106,1.6363989591598511,0.07270854711532593,0.07768554985523224,930992.0,3.7796059052149453,11200435.0,0.3850127896293998,0.14275314565747976,0.37249134574085474,670,402,331,2.1115652383355978e-08,0.38191228959397905,0.8503131719757011,0.12053831173640649,leaky_relu
17,17,17_0,COMPLETED,Sobol,GenerationStep_0,2.5890069007873535,486.7855529785156,2.5869925022125244,406.22216796875,0.3269837578137716,1.633746075630188,0.11148906499147415,0.10868576914072037,808248.0,3.742467927932739,9724659.0,0.5714636594057083,0.17249579820781946,0.18394959345459938,768,226,138,0.012381630964677818,0.42865558478886834,0.1390362954086427,0.022001935880403972,swish
18,18,18_0,COMPLETED,Sobol,GenerationStep_0,2.303525924682617,433.0635986328125,2.3037185668945312,361.6841735839844,0.32772647937138877,1.6621989766756693,0.09322179108858109,0.09410393983125687,1527348.0,3.77020476659139,18364915.0,0.16483346931636333,0.9815468639135361,0.07471205852925777,750,662,659,3.612984298107799e-07,0.24554984929368145,0.45670838527782187,0.16078372697680987,relu
19,19,19_0,COMPLETED,Sobol,GenerationStep_0,2.3023130893707275,432.8348083496094,2.3022310733795166,361.4515380859375,0.32888356447219846,1.6597596724828085,0.10023722052574158,0.10014237463474274,1137792.0,3.756247289975484,13682163.0,0.5340015338733792,0.12125538941472769,0.8946892321109772,889,472,44,0.009183831374394786,0.2731666324045896,0.9680701670642191,0.18477059157196513,swish
