,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,2.302814245223999,432.93402099609375,2.302847385406494,361.5484313964844,0.3177232583363851,1.6355953772862752,3.822642437616984,12337651.0,0.09979277849197388,1025808.0,0.10018300265073776,0.15598669089376926,0.48927193973213434,0.3345815623179078,957,248,148,2.541164567722206e-07,0.2336448689043099,0.4977523744615068,0.9179064027444039,leaky_relu
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,2.3031554222106934,432.99346923828125,2.3035190105438232,361.6543884277344,0.31833308140436806,1.6220453143119813,3.83947305281957,10525875.0,0.09964462369680405,875014.0,0.10014237463474274,0.5900199236348271,0.966766994446516,0.36184219270944595,753,358,41,1.3121589082495966e-05,0.8069016161992542,0.5324938338623825,0.06917177444069993,leaky_relu
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,2.3058621883392334,433.5029602050781,2.306196451187134,362.0740661621094,0.32309409777323406,1.6241697231928507,3.816733543078105,8891571.0,0.09964463114738464,738757.0,0.10014237463474274,0.7165300603955984,0.45021247677505016,0.06961227115243673,514,421,277,0.04811099657392083,0.25821503560284254,0.9606471964456875,0.9765507946855999,relu
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,2.302319288253784,432.8361511230469,2.3022947311401367,361.4607238769531,0.3215431372324626,1.6254019856452941,3.815825915336609,21867891.0,0.10023722052574158,1819244.0,0.10014237463474274,0.5246658762916923,0.0998610956594348,0.6789470743387938,986,850,242,0.0004848563256243877,0.7084107304377268,0.11783252562140085,0.7151297762257535,leaky_relu
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,2.302506446838379,432.8712158203125,2.302490234375,361.49090576171875,0.32177326281865437,1.6192928194999694,3.8416816115379335,22543539.0,0.10023722052574158,1875332.0,0.10014237463474274,0.3771704761311412,0.7075858786702156,0.7462706146761775,862,774,679,1.6685635205734448e-05,0.3113172179822692,0.18629830467553912,0.9846519356848488,relu
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,2.3304827213287354,438.1307373046875,2.333146572113037,366.29498291015625,0.31800658305486046,1.6333844979604086,3.8224950194358827,5985267.0,0.10023722052574158,497035.0,0.10014237463474274,0.5106046544387937,0.7633538413792849,0.8222239632159472,531,129,88,2.4156721053156962e-08,0.5858783992037596,0.8185383480298365,0.17182874973397966,sigmoid
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,2.302690029144287,432.90533447265625,2.3028271198272705,361.5404968261719,0.32349141836166384,1.6417954166730244,3.8324087858200073,7506291.0,0.12444150447845459,623440.0,0.12012170255184174,0.8718063766136765,0.5821575904265046,0.11770636774599552,465,355,257,3.9268745278834936e-06,0.20660875889296454,0.22878594758317228,0.5775836713595711,relu
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,2.300781488418579,432.5456848144531,2.3010406494140625,361.26605224609375,0.31933271487553916,1.6689809362093608,3.772617026170095,20703411.0,0.10023722052574158,1722216.0,0.10014237463474274,0.701309185475111,0.6629987126216292,0.4311542911455035,977,681,421,2.440087934422079e-06,0.1359710938025714,0.3170718923306385,0.39479809697800095,sigmoid
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,2.3095808029174805,434.2059020996094,2.3093440532684326,362.5622253417969,0.323297373453776,1.612732481956482,3.751128304004669,14621427.0,0.09964462369680405,1215874.0,0.10014237463474274,0.5778498416766524,0.17781626153737307,0.13701701536774635,779,618,197,0.6716298386786816,0.9372754993950148,0.7274003400605379,0.5521771321734815,relu
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,2.300332546234131,432.46380615234375,2.300964832305908,361.2577209472656,0.3184839169184367,1.6270861347516379,3.890311686197917,14008947.0,0.1470111906528473,1164880.0,0.1440812200307846,0.1965909767895937,0.2864656439051032,0.8573583690449595,811,508,226,1.2811039556598316e-06,0.45557488711348393,0.7970285205953994,0.8152189098733044,leaky_relu
10,10,10_0,COMPLETED,Sobol,GenerationStep_0,2.3034567832946777,433.0514831542969,2.303002119064331,361.5636291503906,0.31677955389022827,1.6125025709470113,3.731121551990509,3525299.0,0.09740497171878815,292196.0,0.0978243499994278,0.43669928424060345,0.12192726507782936,0.09040180873125792,264,220,118,7.606968860460059e-08,0.9481957386067421,0.26358150713927725,0.40848266111123444,swish
11,11,11_0,COMPLETED,Sobol,GenerationStep_0,5.469607353210449,1028.4091796875,5.39277982711792,846.431640625,0.3172881325085958,1.6309123516082764,3.734722093741099,4350323.0,0.10023722052574158,360982.0,0.10014237463474274,0.06304491683840752,0.2694410812109709,0.4621427617967129,379,138,78,0.054091850720677,0.632207221864276,0.19222793951600586,0.6936622714175451,leaky_relu
12,12,12_0,COMPLETED,Sobol,GenerationStep_0,2.3013293743133545,432.6459655761719,2.3012349605560303,361.2931213378906,0.31655877033869423,1.6374793330828348,3.728273650010427,9942387.0,0.10023722052574158,826382.0,0.10014237463474274,0.30364950001239777,0.072654296644032,0.726832915097475,681,348,155,0.00018056802650204381,0.11062516353394544,0.954192191463979,0.0378975808555985,sigmoid
13,13,13_0,COMPLETED,Sobol,GenerationStep_0,2.3011562824249268,432.61767578125,2.301546335220337,361.34686279296875,0.3178731918334961,1.646553874015808,3.716252263387044,19602099.0,0.10023722052574158,1630608.0,0.10014237463474274,0.362807409837842,0.9861915875226259,0.29491339810192585,938,837,130,8.660625428311386e-05,0.46246192806927555,0.595481427375857,0.6839011168635148,sigmoid
14,14,14_0,COMPLETED,Sobol,GenerationStep_0,2.3021957874298096,432.81256103515625,2.30224347114563,361.4523620605469,0.342875075340271,1.6361354112625122,3.706591566403707,13073715.0,0.10023722052574158,1086838.0,0.10014237463474274,0.7983522247523069,0.9471282782033086,0.05875104293227196,617,534,503,0.0001670975246165348,0.48005542779877974,0.13167840942932466,0.7346337392106002,leaky_relu
15,15,15_0,COMPLETED,Sobol,GenerationStep_0,2.3021202087402344,432.7983093261719,2.302342414855957,361.4670104980469,0.3265841285387675,1.6497241616249085,3.743659714857737,11153971.0,0.10023722052574158,927342.0,0.10014237463474274,0.9897277718409896,0.5963077172636986,0.6995722847059369,906,227,48,0.016580375973225543,0.9299764711391133,0.9749261094832092,0.9491796463804888,relu
